Players
Xavi 
Andrés Iniesta
Lionel Messi 
Carles Puyol 
Migueli
Víctor Valdés
Carles Rexach
Guillermo Amor
Sergio Busquets
Andoni Zubizarreta
Joan Segarra
Juan Manuel Asensi
Joaquim Rifé
Antoni Ramallets 
César Rodrìguez
José Ramón Alexanko
Gerard Piqué
Antoni Torres
Sergi
Pep Guardiola
Francisco José Carrasco
José Mari Bakero
Gallego
Salvador Sadurní
Dani Alves
Estanislao Basora
José Vicente Sánchez
Sígfrid Gràcia
Eladio Silvestre
Víctor Muñoz
Txiki Begiristain
Ferran Olivella
Josep Seguer
Marcial Pina
Marià Gonzalvo
Miguel Ángel Nadal
Luis Enrique
Phillip Cocu
Albert Ferrer
Pedro *
Eusebio Sacristán
Javier Mascherano
Julio Alberto Moreno
Josep Maria Fusté
Ronald Koeman
Martí Vergés
Antonio Olmo
László Kubala


Pedro María Artola
Antonio de la Cruz
Patrick Kluivert
José Puig Puig
Abelardo
Hristo Stoichkov

Michael Reiziger
Quique Costas
Luís Figo
Bernd Schuster
Juan Velasco
Michael Laudrup
Esteban Vigo
Juan Carlos Pérez
Rafael Márquez
Ramón Villaverde
Rivaldo
Jordi Alba
Josep Escolà
Francisco Calvet
Justo Tejada
Pedro María Zabalza
Josep Gonzalvo
Julio Salinas
José Antonio Zaldúa
Gerardo Miranda
Ronaldinho
Eduardo Manchón
Roberto Fernández
Frank de Boer
Samuel Eto'o
Josep Raich

Johan Neeskens
Gustau Biosca
Johan Cruyff
Jesús María Pereda
Enric Gensana
Gabri
Ivan Rakitić *
Oleguer
Andoni Goikoetxea
Eric Abidal
Luis Suárez *
Marcos Alonso Peña
Jaume Elías
Julio César Benítez
Javier Saviola

Neymar *
Luis Suárez *
Urbano Ortega
José Bravo
Javier Urruticoechea
José Antonio Ramos Huete
Seydou Keita
Juan José Nogués
Evaristo de Macedo
Adriano
Deco
Mariano Martín
Eulogio Martínez

Miguel Reina
Ramón Calderé
Pedro Zaballa
Giovanni van Bronckhorst
Josep Moratalla
Bojan
Gary Lineker
Ricardo Serna
Quini
Allan Simonsen
Thiago Motta
Cayetano Ré
David Villa
Sándor Kocsis
Yaya Touré
Gheorghe Popescu
José Manuel Pesudo
Hugo Sotil
Martí Ventolrà
Gianluca Zambrotta
Vicenc Piera
Hans Krankl
Romário *
Ronaldo
Diego Maradona
Gheorghe Hagi
Josep Samitier *
Alejandro Morera Soto
Ferenc Plattkó
Joan Gamper *
Carles Comamala
Paulino Alcántara

Ramón Torralba
