Players
Sepp Maier
Oliver Kahn
Gerd Müller
Georg Schwarzenbeck
Klaus Augenthaler
Franz Beckenbauer
Bernd Dürnberger
Mehmet Scholl
Philipp Lahm
Franz Roth
Bastian Schweinsteiger
Karl-Heinz Rummenigge
Lothar Matthäus
Thomas Müller
Hans Pflügler
Paul Breitner
Roland Wohlfarth
Franck Ribéry
Udo Horsmann
Uli Hoeneß
Hasan Salihamidžić
Dieter Hoeneß
Claudio Pizarro
Raimond Aumann
Alexander Zickler
David Alaba
Norbert Nachtweih
Thomas Helmer
Dieter Brenninger
Manuel Neuer
Arjen Robben
Christian Ziege
Willy Sagnol
Markus Babbel
Bixente Lizarazu
Rainer Zobel
Samuel Osei Kuffour
Martín Demichelis
Holger Badstuber
Wolfgang Dremmler
Giovane Élber
Zé Roberto
Jupp Kapellmann
Thomas Linke
Johnny Hansen
Jens Jeremies
Rafinha
Stefan Effenberg
Rainer Ohlhauser
Daniel Van Buyten
Jérôme Boateng
Christian Nerlinger
Jean-Marie Pfaff
Thomas Strunz
Roque Santa Cruz
Oliver Kreuzer
Michael Rummenigge
Ludwig Kögl
Olaf Thon
Owen Hargreaves
Lucio
Kurt Niedermayer
Werner Olk
Carsten Jancker
Wolfgang Kraus
Peter Kupferschmidt
Norbert Eder
Toni Kroos
Roy Makaay
Robert Lewandowski
Mark van Bommel
Thorsten Fink
Michael Tarnat
Mario Gómez
Hans Dorfner
Mario Götze
Javi Martínez
Michael Ballack
Dietmar Hamann
Hans-Dieter Flick
Roland Grahammer
Robert Kovač
Reinhold Mathy
Dieter Koulmann
Miroslav Klose
Marcel Witeczek
Thiago
Stefan Reuter
Michael Sternkopf
Andreas Ottl
Markus Schupp
Hans Weiner
Søren Lerby
Rudolf Nafziger
Manfred Schwabl
Norbert Janzon
Peter Pumm
Bruno Labbadia
Xherdan Shaqiri
Conny Torstensson
Mario Basler
Manfred Bender
Paulo Sergio
Juan Bernat
Kalle Del'Haye
Bertram Beierlorzer
Herwart Koppenhöfer
Branko Oblak
Lukas Podolski
Anatoliy Tymoshchuk
Jorginho
Walter Junghans
Edgar Schneider
Jan Wouters
Jürgen Klinsmann
Christian Lell
Ciriaco Sforza
Luiz Gustavo
Hamit Altıntop
Hans-Jörg Butt
Kingsley Coman
Sebastian Deisler
Luca Toni
Andreas Brehme
Dante
Wolfgang Grobe
Jürgen Wegmann
Holger Willmer
Franz Krauthausen
Wilhelm Hoffmann
Jürgen Kohler
Ivica Olić
Danijel Pranjić
Mario Mandžukić
Brian Laudrup
Michael Rensing
Wolfgang Rausch
Karl-Heinz Mrosko
Helmut Winklhofer
Diego Contento
Mazinho
Markus Münch
Helmut Schmidt
Björn Andersson
Ruggiero Rizzitelli
Manfred Müller
Klaus Wunder
Peter Gruber
Alan McInally













