Players
Ron Harris
Peter Bonetti
John Terry
Frank Lampard
John Hollins

Petr Čech
Dennis Wise
Steve Clarke
Kerry Dixon
Eddie McCreadie
John Bumstead
Ken Armstrong

Didier Drogba

Peter Osgood

Branislav Ivanović
John Obi Mikel
Charlie Cooke

George W. Smith
Bobby Tambling
Roy Bentley
César Azpilicueta
Harold Miller
John Harris
Eden Hazard
Frank Blunstone
Colin Pates
Marvin Hinton
Peter Houseman
Ashley Cole
Jack Harrow
Willian
Tommy Law
Gary Locke
Micky Droy
Graeme Le Saux

Gianfranco Zola
Jackie Crawford
Bob McNeil
David Webb
George Barber
Gary Cahill
Ian Britton
Peter Sillett
Joe Cole
John Mortimore
Peter Brabrook
Joe McLaughlin
Nigel Spackman

John Boyle
Harry Wilding
Eiður Guðjohnsen
Michael Essien
Walter Bettridge
Salomon Kalou
Andy Wilson
David Luiz

Dick Spence
Ramires
Sam Millington
Pat Nevin
Jim Molyneux
George Mills
Tommy Baldwin
Terry Venables
Florent Malouda
William Gallas
Clive Walker
Derek Saunders
Colin Lee
Marcel Desailly
Stan Willemse
Frank Sinclair
Claude Makélélé
Carlo Cudicini
Bill Robertson
Eddie Newton
Paulo Ferreira
Bobby Campbell
Ricardo Carvalho
Dan Petrescu
John Dempsey
Barry Bridges
David Speedie
Frank Leboeuf
Oscar
John McNichol
Ray Wilkins
Cesc Fàbregas
Celestine Babayaro
Pedro
Jock Cameron
David Lee
Kevin Wilson
Alan Hudson

Nicolas Anelka
Bert Murray
Erland Johnsen
Mike Fillery
Tony Dorigo
Ed de Goey
Eric Parsons
Jimmy Floyd Hasselbaink
Eddie Niedzwiecki
Roberto Di Matteo
Ron Tindall
Jody Morris
Fernando Torres
Jimmy Greaves
Michael Ballack
Mario Melchiot
George Hilsdon
Steve Wicks

Tore André Flo
N'Golo Kanté
Dave Beasant
Harry Burgess
Nemanja Matić

Thibaut Courtois
Gordon Durie
Tommy Langley
Steve Kember
John Phillips
Gary Chivers
Sydney Bathgate
Dmitri Kharine
Gustavo Poyet
Hughie Gallacher
Ian Hutchinson
Wayne Bridge
Andy Townsend
Craig Burley
John Spencer
Kevin Hitchcock
Juan Mata
Marcos Alonso
Gavin Peacock
Alex
Tommy Meehan
Kenny Swain
Bob Whittingham
Victor Moses
Jimmy Argue
Sam Weaver
Damien Duff
Shaun Wright-Phillips
José Bosingwa
Les Stubbs
Ken Shellito
Mark Hughes
Gary Stanley
David Hay
Diego Costa
Bill Garner
Ken Monkou
Jesper Grønkjær
Vivian Woodward
Michael Duberry
Chris Garland
Petar Borota
Albert Ferrer
Harold Halse
Jack Cock
Len Goulden
Sid Bishop
Peter Rhoades-Brown
Geremi
Andy Myers
Arjen Robben
Tommy Walker
Paul Canoville
Micky Hazard
Leonard Allum
John Sillett
Allan Harris

George Graham
Ben Warren
Chris Hutchings
Kurt Zouma
Gianluca Vialli
Nils Middelboe[a]
