Players
Alessandro Del Piero
Gianluigi Buffon

Gaetano Scirea
Giuseppe Furino
Giorgio Chiellini
Roberto Bettega
Dino Zoff
Antonio Cabrini
Giampiero Boniperti
Sandro Salvadore
Franco Causio

Antonello Cuccureddu
Antonio Conte
Claudio Gentile
Giovanni Varglien IIº
Alessio Tacchinardi
Mario Varglien Iº
Gianfranco Leoncini
Claudio Marchisio
Teobaldo Depetrini
Sergio Brio
Stefano Tacconi
Francesco Morini
Marco Tardelli
Gianpiero Combi
Gianluca Pessotto
Virginio Rosetta
Leonardo Bonucci

Ciro Ferrara
Ernesto Càstano
Carlo Parola
Pietro Rava
Pavel Nedvěd
Roberto Anzolin
David Trezeguet
Giancarlo Marocchi
Felice Borel IIº

Pietro Anastasi
Alessandro Birindelli
Alfredo Foni
Massimo Bonini
Angelo Peruzzi
Luis del Sol
Gianluca Zambrotta
Mauro Camoranesi
Andrea Barzagli
Gino Stacchini
Paolo Montero
Mark Iuliano
Angelo Di Livio
Luis Monti
Benito Sarti
Omar Sívori
Stephan Lichtsteiner
Federico Munerati
Flavio Emoli
Ermes Muccinelli

Giovanni Viola

Carlo Bigatto Iº

Luciano Spinosi
Fabio Capello
Edgar Davids
Sergio Manente
Karl Aage Præst
Moreno Torricelli
Roberto Galìa
Michel Platini
Vittorio Sentimenti IIIº
Luigi De Agostini
Zinedine Zidane
Giancarlo Bercellino Iº
Giampaolo Menichelli
Luciano Favero
Lilian Thuram
Giuseppe Corradi
Roberto Baggio
Umberto Caligaris
Umberto Colombo
Raimundo Orsi
Giovanni Ferrari
Adolfo Gori
Guglielmo Gabetto
John Hansen
Bruno Garzena


Lucidio Sentimenti IVº
John Charles
Paulo Dybala
Ugo Locatelli
Bruno Nicolè
Didier Deschamps
Paul Pogba
Giampietro Marchetti
Helmut Haller
Igor Tudor
Arturo Vidal
Massimo Carrera
Filippo Inzaghi
Andrea Pirlo
Mario Mandžukić
Luigi Bertolini
Fabrizio Ravanelli
Marcelo Zalayeta

Romeo Benetti
Alex Sandro
Kwadwo Asamoah
Rino Ferrario

Nicola Legrottaglie

Pietro Fanna
Massimo Mauro
Michael Laudrup
Pierluigi Casiraghi
Renato Cesarini
Alberto Bertuccelli
Jürgen Kohler
Gianluca Vialli
Angelo Alessio
Domenico Marocchino
Sergio Porrini
Claudio Cesare Prandelli
Paolo Rossi

Juan Cuadrado
Miralem Pjanić
Giacomo Mari
Zbigniew Boniek
Sebastian Giovinco
Salvatore Schillaci
Paolo De Ceglie
Fabio Cannavaro

Beniamino Vignola

Sami Khedira
Savino Bellini
Júlio César
Gianfranco Zigoni
José Altafini
Martín Cáceres


Cinesinho
Carlo Mattrel
Jonathan Zebina
Oreste Barale 
Antonio Montico
Giovanni Sacco

Zdeněk Grygera
Roberto Tricella
Paolo Di Canio
Pietro Paolo Virdis

Vincenzo Iaquinta
Pietro Magni
Simone Padoin
Alberto Piccinini
Nicola Amoruso
Gonzalo Higuaín

Fabio Quagliarella
Amauri
Mohamed Sissoko
Cristiano Ronaldo
