Players
Ian Callaghan
Jamie Carragher
Steven Gerrard
Ray Clemence
Emlyn Hughes
Ian Rush

Phil Neal
Tommy Smith
Bruce Grobbelaar
Alan Hansen
Chris Lawler
Billy Liddell
Kenny Dalglish
Ronnie Whelan
Roger Hunt
Phil Thompson
Steve Heighway
Elisha Scott
Steve Nicol
Sami Hyypiä
Ron Yeats
Donald Mackinlay
Ian St. John
Peter Thompson
Arthur Goddard
John Barnes
Pepe Reina
Ray Kennedy
Tommy Lawrence
Alan A'Court
Ronnie Moran
Gordon Hodgson
Tom Bromilow
Ephraim Longworth
Robbie Fowler

Tommy Lucas
Jimmy McDougall
Steve McManaman
Billy Dunlop
Jack Cox
Fred Hopkin
Graeme Souness
Alan Kennedy
Mark Lawrenson
Jordan Henderson
John Arne Riise
Phil Taylor
Lucas Leiva
Alex Raisbeck
Ray Lambert
Harry Chambers
Arthur Riley
Gerry Byrne
Terry McDermott
Laurie Hughes
Kevin Keegan
Martin Škrtel
Jack Balmer
Jamie Redknapp
Michael Owen
Sammy Lee
Jan Mølby
Tom Bradshaw
Dick Forshaw
Jimmy Melia
Dirk Kuyt
Dietmar Hamann
Gordon Milne
Bill Jones
Bob Paisley
Steve McMahon
David James
Robbie Robinson
Craig Johnston
Jimmy Case
Berry Nieuwenhuys
Bill Lacey

Tom Morrison
John Molyneux
Danny Murphy
Alec Lindsay
John Toshack
Jimmy Payne
Rob Jones
Walter Wadsworth
Willie Stevenson
Sam Hardy
Daniel Agger
Sam Raybould
Roberto Firmino
James Jackson
Brian Hall
Emile Heskey
Jock McNab
Maurice Parry
Jack Parkinson
Larry Lloyd
Dick White
Steve Finnan
Gary Gillespie
David Johnson
Mark Wright
Xabi Alonso
Stéphane Henchoz
James Milner
Simon Mignolet
Ray Houghton
Geoff Strong
Philippe Coutinho
Glen Johnson
Patrik Berger
David Burrows
Jerzy Dudek
James Bradley
Willie Fagan
Geoff Twentyman
Stig Inge Bjørnebye
Vladimír Šmicer
Dejan Lovren
Albert Stubbins
Peter Cormack
Alf Hanson
Johnny Wheeler
Peter Beardsley
William Goldie
Adam Lallana
Dick Edmed
Phil Babb
Georginio Wijnaldum
Eddie Spicer
Emre Can
John McCartney
Cyril Sidlow
Joe Hewitt
Michael Thomas
Tom Cooper
Daniel Sturridge
Barry Venison
Robert Done
Dominic Matteo
David Fairclough
Sadio Mané
Kevin Baron
Neil Ruddock
Archie Goldie
Steve Staunton

Jackie Sheldon
Gary Ablett
Tom Miller
Roy Saunders
Ryan Babel
Joe McQue
Ken Campbell
Fernando Torres
Tom Robertson
Alf West

Djimi Traoré
Alberto Moreno
James Harrop
Steve Harkness
Jason McAteer
Harry Kewell
Javier Mascherano
Harry Bradshaw
Bobby Graham
Harry Lowe
Mohamed Salah
Jim Harley
Peter Crouch
Fábio Aurélio
Yossi Benayoun
Archie McPherson
Brian Jackson
Luis Suárez
Joe Allen
Raheem Sterling
Willie Steel
Divock Origi
Tommy Younger
Malcolm McVean
Matt Busby
Mark Walters
Harry Storer

Tom Chorlton
Phil Boersma
Luis García
John Walker
Tommy Leishman
Igor Bišćan
Bill Perkins
Trent Alexander-Arnold
Robert Crawford
Ronald Orr
Bob Pursell
Paul Walsh
Cyril Done
Bert Slater
Alun Evans
Andrew Robertson
Harold Barton
Joël Matip
John Wark
Milan Baroš
John Evans
Robert Savage
Jimmy Harrower
John Aldridge
Virgil Van Dijk
Matt McQueen
Robert Ferguson
Sander Westerveld
Nathaniel Clyne
Louis Bimpson
Mike Marsh
Dave Wright
Joey Jones
