Players
David Silva
Vincent Kompany
Richard Dunne
Joe Hart
Sergio Agüero
Yaya Touré
Pablo Zabaleta
Shaun Wright-Phillips

Fernandinho
Aleksandar Kolarov
Micah Richards
Gerard Wiekens
Shaun Goater
Nicky Weaver
Sylvain Distin
James Milner
Gaël Clichy
Paul Dickov

Raheem Sterling
Edin Džeko
Jesús Navas
Stephen Ireland
Samir Nasri
Gareth Barry
Kevin De Bruyne
Nicolás Otamendi
Joleon Lescott
Danny Tiatto

Joey Barton
Sun Jihai
Carlos Tevez
Nigel de Jong
Leroy Sane
Darius Vassell
Nedum Onuoha
Ilkay Gundogan
John Stones
Antoine Sibierski
Martín Demichelis
Bernardo Silva
Steve Howey
Nicolas Anelka
Kolo Touré
Fernando
David James
Gabriel Jesus
Ederson
Kyle Walker
Ali Benarbia
