Players
Ryan Giggs
Bobby Charlton
Paul Scholes

Bill Foulkes
Gary Neville
Wayne Rooney
Alex Stepney
Tony Dunne
Denis Irwin
Joe Spence
Arthur Albiston
Roy Keane
Brian McClair
George Best
Mark Hughes

Michael Carrick
Bryan Robson
Martin Buchan
Rio Ferdinand
Jack Silcock
Gary Pallister
Jack Rowley
Sammy McIlroy
Steve Bruce
Denis Law
Lou Macari
Peter Schmeichel
Pat Crerand
Steve Coppell
Nobby Stiles
David Beckham
John O'Shea
Allenby Chilton
David de Gea
Nicky Butt
Phil Neville
Patrice Evra
Mike Duxbury
Gary Bailey
Ole Gunnar Solskjær
Wes Brown
Mikaël Silvestre
Shay Brennan
Johnny Carey
Stan Pearson
Darren Fletcher
Antonio Valencia
Billy Meredith
David Sadler
Charlie Moore

Alf Steward
Chris Smalling
Lal Hilditch
George Wall
Fred Erentz
Alex Bell
Charlie Roberts
Ray Bennion
Nemanja Vidić

Willie Morgan
Dennis Viollet
Cristiano Ronaldo
Kevin Moran
Frank Stapleton
John Aston Sr.
Paul Ince
Roger Byrne
Johnny Berry
Henry Cockburn
Andy Cole
Norman Whiteside
Brian Greenhoff
George Stacey
Brian Kidd
Harry Moger
Edwin van der Sar
David Herd
Lee Sharpe
Ashley Young
Walter Cartwright
Dick Duckworth
Stewart Houston
Jimmy Nicholl
Harry Gregg
Sandy Turnbull
Clayton Blackmore
Juan Mata
Nani
Gordon McQueen
Phil Jones
Ruud van Nistelrooy
Jack Crompton
George Vose
Ray Wood
John Grimwood
Park Ji-sung
Marcus Rashford
Gordon Strachan
Tom Jones
Anthony Martial
Harry Stafford
Paul McGrath
Jack Mew
Remi Moses
Jonny Evans
Jesse Lingard
Frank Mann
Tom Manley
Maurice Setters
Ray Wilkins
Alex Downie
Tommy Taylor
Ander Herrera
John Aston Jr.
Eric Cantona
Jimmy Delaney
Albert Quixall
Bill McKay
Anderson
Enoch West
Stuart Pearson
Harry Rowley

Alf Schofield
Duncan Edwards
Marouane Fellaini
Jesper Olsen
Billy Griffiths
Frank McPherson
Joe Cassidy

Jack Griffiths
Rafael
Charlie Mitten
Steve James
Andrei Kanchelskis


Teddy Partridge
Billy Bryant
Javier Hernández
James McNaught
Francis Burns
Bob Donaldson
Arthur Lochhead
Teddy Sheringham
Frank Barson
Billy Morgan
Dwight Yorke
Ronny Johnsen
David Pegg
Paul Pogba

Dimitar Berbatov
John Fitzpatrick
Jimmy Hanson
Noel Cantwell
Paul Parker
Mike Phelan
Gerry Daly
Danny Welbeck
Daley Blind
Jack Wilson
Fabien Barthez
Frank Barrett
Harry Thomas
Bob Bonthron
Gordon Hill
Vince Hayes

William Bryant
Albert Scanlon
Jaap Stam
Quinton Fortune
Joe Jordan
Harold Halse
Louis Saha
Jimmy Greenhoff
Billy McGlen
Jack Mellor
Jack Picken
Marcos Rojo
Luke Shaw
Mark Jones
Jack Peddie

John Gidman
George Mutch
Mal Donaghy
Alex Forsyth
David Gaskell
David May
Jackie Blanchflower
Dick Holden
Johnny Downie
George McLachlan
Hugh McLenahan
Don Gibson
Johnny Giles
Jack Warner
John Connelly
Bobby Beale
James Brown
Graeme Hogg
David McCreery
Mickey Thomas
Neil Webb
Tommy Bamford
Lee Martin
Eddie Colman
Freddie Goodwin
Ashley Grimes
Ronnie Cope
Peter Davenport
Arthur Whalley
Robin van Persie
Henning Berg
Nemanja Matić
Tommy Reid
Dick Smith

Nemanja Matić
