Players
 Jean-Marc Pilorget
 Sylvain Armand
 Safet Sušić
 Paul Le Guen
 Bernard Lama
 Mustapha Dahleb
 Thiago Silva




 Marco Verratti
 Blaise Matuidi
 Edinson Cavani
 Éric Renaut
 Joël Bats
 Dominique Baratelli
 Daniel Bravo
 Luis Fernández
 Dominique Bathenay
 Javier Pastore
 Marquinhos
 Jean-Claude Lemoult
 Édouard Cissé
 Dominique Rocheteau
 Franck Tanasi
 Vincent Guérin
 Laurent Fournier
 Clément Chantôme
 Francis Llacer
 Bernard Mendy
 Thiago Motta
 Lucas Moura
 Adrien Rabiot
 Zoumana Camara
 Alain Roche
 Philippe Jeannol
 François M'Pelé
 Raí
 Maxwell
 Patrick Colleter
 Pauleta
 Ángel Di María
 Mamadou Sakho
 Oumar Sène




 Christophe Jallet
 Marcos Ceará
 Lionel Letizi
 Jérémy Clément
 Salvatore Sirigu
 Michel Bibard
 Zlatan Ibrahimović
 Péguy Luyindula
 Jérôme Rothen
 Jimmy Algerino
 Jacques Laposte
 Thierry Morin
 Nabatingue Toko
 Frédéric Déhu
 Jérôme Leroy

 Guillaume Hoarau
 Ezequiel Lavezzi
 David Ginola
 Ricardo
 Valdo
 Jean-François Charbonnier
 Mickaël Landreau
 Dominique Lokoli
 Pierre Ducrocq
 Mario Yepes
 Christian Perez
 George Weah
 Antoine Kombouaré
 Éric Rabésandratana
 Fabrice Pancrate
 Gabriel Heinze
 Gregory van der Wiel
 Julian Draxler
 Presnel Kimpembe
 Ludovic Giuly
 Pierre Reynaud
 Jacky Novi
 Philippe Col
 Claude Makelele
 Patrice Loko
 Thomas Meunier
 Sarr Boubacar
 Didier Domi

 Ilija Pantelić
 Gabriel Calderón
 Jay-Jay Okocha
 Bruno N'Gotty
 Fabrice Poullain
 Talal El Karkouri
 Nenê
 Mevlüt Erdinç
 Jérémy Ménez
 Layvin Kurzawa
 José Cobos
 Amara Simba
 Alphonse Areola
 Stéphane Sessègnon
 Kylian Mbappé
 Denis Bauda
 Fabrice Fiorèse
 Modeste M'bami
 Jérôme Alonzo
 Jean-Pierre Dogliani
