Players
Raúl
Iker Casillas
"Manuel Sanchís, Jr"
Santillana
Sergio Ramos
Fernando Hierro
Francisco Gento
José Antonio Camacho
Pirri
Míchel
Guti
Roberto Carlos
Chendo
Marcelo
Karim Benzema
Amancio
Emilio Butragueño
Francisco Buyo
Cristiano Ronaldo

Ignacio Zoco
Gregorio Benito
Manuel Velázquez
Juanito
Alfredo Di Stéfano


Ricardo Gallego
Míchel Salgado
Ramón Grosso
Iván Helguera
Miguel Ángel
Vicente del Bosque
José Santamaría

Pepe
Luka Modrić
Uli Stielike
José María Zárraga
Juan Antonio Ipiña
Juanito Alonso
Raphaël Varane
Hugo Sánchez
Isco
Fernando Morientes
Miguel Muñoz
Isidoro San José
Gonzalo Higuaín
Ferenc Puskás*

Rafael Gordillo
Dani Carvajal
Toni Kroos
Luís Figo*
Gareth Bale
Ángel
Xabi Alonso
Álvaro Arbeloa

Mariano García Remón
Fernando Redondo
Zinedine Zidane*
Marquitos
Isidro
Pachín*
Rafael Lesmes
Joaquín Navarro
Luis Milla
Luis Enrique
"Manuel Sanchís, Sr"
Casemiro
Luis Molowny
Santiago Solari
Nacho
Roberto Martínez

Lucas Vázquez
Javier Aguilar
Ángel Di María
Sabino Barinaga
José Luis López
Félix Huete
Rafael Martín Vázquez

Mikel Lasa
Ronaldo*
Jesús Solana
Antonio Betancort

Joseíto
Antonio Alsúa
Iván Zamorano*
Pedro de Felipe
Jacinto Quincoces
Francisco Pavón
Héctor Rial

Keylor Navas
Sami Khedira
Chus Alonso

Sávio
Paco Llorente
Mesut Özil
David Beckham
José Bañón
Clarence Seedorf
Steve McManaman
Corona
Leoncito
Aitor Karanka
Vicente Miera
Félix Quesada
Francisco Pineda
Claude Makelele
José Amavisca
Clemente
Pahiño
Félix Ruiz
Juan Sol
José Antonio Salguero
Robinho
Marco Asensio
Rafael Alkorta
Juan Carlos Touriño

Raúl Bravo
Francisco García Hernández
Mahamadou Diarra
Agustín
José Ramón Sauto
Joaquín Oliva
Roque Olsen
Pedro Casado
Luis Regueiro
Toni Grande
Antonio Calpe
Fernando Gago
Jorge Valdano
James Rodríguez

Kaká*
Bodo Illgner
Alfonso Pérez
Predrag Mijatović
Manuel Bueno
Fabio Cannavaro
Raúl Albiol
Andrés Sabido
Lassana Diarra
Pruden
Jaime Lazcano
Juan Santisteban

Fernando Zunzunegui
Ricardo Zamora*
Davor Šuker
Mateo Kovačić
Moleiro
Fábio Coentrão
Eugenio Hilario
Pedro Regueiro
Pepillo II
Antonio Ruiz
Isidro Sánchez
Simón Lecue
Henning Jensen
Raymond Kopa
Albert Celades
Günter Netzer
Paul Breitner
José Vicente
José María Peña
Miguel Tendillo
Ruud van Nistelrooy
Luis del Sol
Esteban Granero
Álvaro Morata

Iván Campo
Enrique Mateos
Jesé
Lucien Muller
Asier Illarramendi
Ciriaco
Pedro Munitis
Manuel Alday
Ricardo Rocha
Christian Karembeu
José Callejón
Michael Laudrup
Flávio Conceição
Hilario
Robert Prosinečki
Christian Panucci
Ángel Atienza
Diego López

Enrique Wolff
Laurie Cunningham
Jesús Narro
Wesley Sneijder
Jaime
Miguel Torres
Arjen Robben
Víctor Sánchez
Royston Drenthe
Esteban Cambiasso
Gheorghe Hagi
José María Vidal

Quique Sánchez Flores
Bernd Schuster
Ildefonso Sañudo
Ramón Marsal
Luis Olaso
Júlio Baptista
Sebastián Fleitas
Rafael van der Vaart
Gabriel Heinze
César Sánchez
Javier Portillo
Álvaro Mejía
José Araquistáin
Emilín
Dani Ceballos
Gaspar Rubio
Danilo
Fernando Serena
Santiago Cañizares
Santiago Bernabéu*
Rogelio Domínguez
Manuel Olivares
Peter Dubovský
Ricardo Carvalho
John Metgod
Nando
Michael Owen
Kiko Casilla
Oscar Ruggeri
Juan Monjardín
Eulogio Aranguren
Sotero Aranguren
René Petit
Manuel Prast
Arthur Johnson
José Berraondo
José Quirante
