Players
Steve Perryman
Gary Mabbutt
Pat Jennings
Tom Morris
Cyril Knowles
Glenn Hoddle
Ted Ditchburn
Alan Gilzean
Jimmy Dimmock
Phil Beal
John Pratt
Maurice Norman
Chris Hughton
Mike England
Danny Blanchflower
Jimmy Greaves
Cliff Jones
Alan Mullery
Paul Allen
Martin Chivers
Aaron Lennon
Jermain Defoe

Arthur Grimsdell
Darren Anderton
Thomas Clay
Jack Kirwan
Peter Baker
Bill Nicholson
David Howells
Billy Minter
Ray Clemence
Eddie Baily
Ron Burgess
Michael Dawson
Harry Clarke
Bert Smith
Dave Mackay
Bobby Smith
Sol Campbell
Ledley King
Ian Walker
Ossie Ardiles

Hugo Lloris*
Len Duquemin
Robbie Keane

Jan Vertonghen*
Christian Eriksen*
Terry Naylor
Les Bennett
John Cameron
Ron Henry
Graham Roberts
Paul Miller
Harry Kane*
Teddy Sheringham

Justin Edinburgh
Tony Galvin
Stephen Carr
Taffy O'Callaghan
Bill Brown
Bert Middlemiss
Martin Peters
Joe Kinnear
Jimmy Seed
Bill Whatley
Alf Ramsey
Mousa Dembélé
Ralph Coates
Vinny Samways
Bobby Steel
Matt Forster
Mel Hopkins
Fanny Walden
Mark Falco
Sonny Walters
Tony Marchi

Vic Buckingham
Harry Skitt
Kyle Walker
Eric Dier*
Jack L. Jones
Alex Lindsay
Willie Hall
Tommy Harmer
Frank Osborne
Erik Thorstvedt
Son Heung-min*
Bert Bliss
Terry Medwin
Danny Rose*
Steve Sedgley
Dele Alli*
Terry Dyson
Tom Huddlestone
Erik Lamela*
Gareth Bale
Don McAllister
Jermaine Jenas
Arthur Rowe
Jack Elkes
George Robb
Gary Stevens
Benoît Assou-Ekotto
Colin Calderwood
George Hunt
Vivian Woodward
Willie Evans
Toby Alderweireld*
Jimmy Pearce
Tommy Meads
Steve Archibald
Chris Jones
John White
Les Howe
Garth Crooks
Jimmy Robertson
Ray Evans
Johnny Brooks
Ricardo Villa
Jimmy Cantrell
Steffen Iversen
Ben Davies*
Paul Robinson
Barry Daines
Chris Waddle
Chris Armstrong
Paul Stewart
Micky Hazard

Cyril Spiers
Andy Thompson
Les Medley
Charlie Withers
Jabez Darnell
Arthur Willis
Jack Jull
Luka Modrić
Cecil Poynton
Mitchell Thomas
Jimmy Neighbour
Paul Walsh
Mauricio Taricco
Johnny Morrison
Younès Kaboul

John Lacy
Moussa Sissoko*
Jimmy McCormick
Dean Austin
Les Ferdinand
Ted Hughes
Chris Perry
Simon Davies
Pat Van Den Hauwe
Nayim
Anthony Gardner
Danny Steel
Charlie Handley
Terry Venables
Peter Taylor
Bill Jaques
Les Allen
Clive Allen
Didier Zokora
Charles Ambler

John Brearley
Ralph Ward
Steffen Freund
Heurelho Gomes
Joe Nicholls
Frank Saul
Ruel Fox
Harry Winks*
Keith Osgood
David Ginola
Bob McDonald
Tom Collins
John Duncan
Nacer Chadli
Terry Fenwick
Tim Sherwood
Charlie Walters
Danny Thomas
Willie Davies
Allan Nielsen
Kieran Trippier
Roman Pavlyuchenko
Emmanuel Adebayor
Paul Gascoigne
Charlie Rance
Fred Channell
Fred Sargent
Stephen Clemence
Vedran Ćorluka
Percy Hooper
Nicky Barmby
Gary Lineker
Freddie Cox
Andy Duncan
Pascal Chimbonda

Eddie Clayton
Dimitar Berbatov
Davinson Sánchez*
Findlay Weir
Tom Evans
Sid Tickridge
Peter Collins
Ronnie Rosenthal
Andy Sinton
Gerry Armstrong
Gus Poyet
Victor Wanyama*
Sandro
Lee Young-pyo
Andros Townsend
Peter Crouch
Jimmy Holmes
Walter Alsford
Lucas Moura*
Guðni Bergsson
Wilson Palacios
Kasey Keller
Teemu Tainio
Gylfi Sigurðsson
Neil Sullivan
Darren Bent
Gordon Durie
Rafael van der Vaart
Gary Doherty
Sergei Rebrov
Roberto Soldado
John Chiedozie
Michael Carrick
Frédéric Kanouté
Øyvind Leonhardsen
Niko Kranjčar
Sébastien Bassong
Ryan Mason
Jürgen Klinsmann

Paulinho
Alan Hutton
Nabil Bentaleb
Richard Gough
Jonathan Woodgate
Serge Aurier*
Nico Claesen
Mido
Scott Parker
Terry Yorath
Paul Price
David Bentley
Sandy Brown
Ernie Jones
Christian Ziege
Steve Hodge
Bobby Buckle
Jamie Redknapp
Tony Parks
Charlie O'Hagan
Jimmy Archibald
Walter Tull
